,name,uri,popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
120,Whisper Not,spotify:track:6DcjqO60Eg6XaBivGjhaX3,21,1994-08-16,0.485,0.507,7,-6.851,0,0.0277,0.594,0.503,0.139,0.555,141.678,6DcjqO60Eg6XaBivGjhaX3,461907,4
121,La Bikina,spotify:track:4bjH3YZa4dc34RC8RudtyK,2,2006-10-14,0.565,0.462,7,-6.596,1,0.0297,0.264,0.83,0.094,0.456,113.36,4bjH3YZa4dc34RC8RudtyK,186000,4
122,Maynard Ferguson,spotify:track:29d8amoKJLuC8trlpxR918,17,2003-05-06,0.382,0.467,3,-5.983,1,0.0403,0.453,0.937,0.0359,0.378,129.91,29d8amoKJLuC8trlpxR918,253453,4
123,Joy Spring,spotify:track:2y0Hag7c5kXyiYLRurJsTX,12,2003-05-06,0.756,0.45,1,-7.588,1,0.053,0.77,0.722,0.0719,0.55,82.529,2y0Hag7c5kXyiYLRurJsTX,254680,4
124,Concerto In D Major - First Movement,spotify:track:4vLMn56ZiG15JHE3rS7lJP,9,2003-05-06,0.668,0.368,2,-8.834,1,0.0417,0.976,0.873,0.138,0.598,85.338,4vLMn56ZiG15JHE3rS7lJP,235627,4
125,El Ruido,spotify:track:7mY8ykTacIvA3A471aZB3E,24,2018-05-18,0.425,0.463,4,-6.933,1,0.0301,0.306,0.0,0.091,0.186,143.533,7mY8ykTacIvA3A471aZB3E,314373,4
126,Them Dirty Blues - Remastered,spotify:track:3f6xm9qUFXkunVsqN0Sbyy,21,2000-01-01,0.568,0.346,5,-12.549,0,0.0395,0.692,0.0104,0.0902,0.412,70.581,3f6xm9qUFXkunVsqN0Sbyy,432267,4
127,"The Way You Look Tonight (From ""Swing Time"") [Live]",spotify:track:66PpC5LNa9KCpimqS8njmz,0,2018-04-20,0.443,0.655,0,-5.612,1,0.0411,0.633,0.0,0.709,0.457,74.38,66PpC5LNa9KCpimqS8njmz,232605,4
128,Shorty (Live),spotify:track:4FhlPbXOG3PXGipelhg4Ls,0,2018-04-20,0.633,0.601,0,-7.844,1,0.136,0.243,0.719,0.669,0.568,95.413,4FhlPbXOG3PXGipelhg4Ls,351920,4
129,Recuérdame,spotify:track:20ep3Lya1JrbshZfANTj8e,58,2018-09-07,0.461,0.69,6,-4.132,1,0.0348,0.123,8.43e-06,0.366,0.388,80.083,20ep3Lya1JrbshZfANTj8e,165507,4
130,Color Esperanza,spotify:track:3T07pNAEVr9adeIG9i1ex4,68,2001-10-31,0.619,0.876,7,-6.253,1,0.0538,0.342,0.0,0.0828,0.772,100.962,3T07pNAEVr9adeIG9i1ex4,267107,4
131,Inquebrantable,spotify:track:1ldlMs4eU7OSFAoW0Uf8Jg,22,2018,0.703,0.774,9,-4.124,1,0.0706,0.183,2.23e-05,0.134,0.296,112.015,1ldlMs4eU7OSFAoW0Uf8Jg,220714,4
132,Todo En Mi Vida,spotify:track:1eQI12dVlkE9HOuiNB5sRq,34,2019-03-01,0.713,0.726,0,-5.193,1,0.442,0.448,0.0,0.108,0.608,187.981,1eQI12dVlkE9HOuiNB5sRq,204480,4
133,Respiro (Cap. 8),spotify:track:4TIaGP6idg1KZ5lSrGvjZw,0,2020-02-05,0.642,0.744,1,-5.586,1,0.0284,0.011,1.21e-05,0.0876,0.717,137.997,4TIaGP6idg1KZ5lSrGvjZw,221390,4
134,Si Tú Te Vas,spotify:track:5fncLNZgQmsV3535P2k5RP,56,2019-03-01,0.661,0.723,11,-4.235,0,0.184,0.14,0.000506,0.143,0.526,184.184,5fncLNZgQmsV3535P2k5RP,188813,4
